Nodes,Dimension,Size,Time
Nodes,Dimension,Size,Time
128,0,1.4932260499728363,0.006560087203979492
256,0,1.3303209119855925,0.03466796875
256,0,1.180183270003015,0.02998805046081543
256,0,1.1634702590678527,0.034394025802612305
256,0,1.2166458201639783,0.03883504867553711
256,0,1.218296192162955,0.033421993255615234
512,0,1.2510555666992937,0.1336967945098877
512,0,1.214566449267274,0.12987589836120605
512,0,1.2059729568960331,0.13040709495544434
512,0,1.332332630138187,0.13280320167541504
512,0,1.1722472373953723,0.1317899227142334
1024,0,1.1313484443173238,0.5297269821166992
1024,0,1.161081931164581,0.5425858497619629
1024,0,1.1541588574872605,0.5283539295196533
1024,0,1.168901205440148,0.5189530849456787
1024,0,1.2364721766007662,0.522636890411377
4,2,1.4566783404177879,2.9087066650390625e-05
4,2,0.6406932228526715,3.409385681152344e-05
4,2,1.0018916223278924,2.5987625122070312e-05
4,2,1.2052915065724932,2.5987625122070312e-05
4,2,1.3471154645061856,4.100799560546875e-05
8,2,1.4951503097639807,4.8160552978515625e-05
8,2,1.393120743591286,4.8160552978515625e-05
8,2,1.3561330934277156,5.698204040527344e-05
8,2,2.0559118172521362,4.792213439941406e-05
8,2,2.1031631818860745,6.318092346191406e-05
16,2,3.0585116745515664,0.00017905235290527344
16,2,2.9040083876440077,0.0001881122589111328
16,2,2.8949495467198223,0.00018596649169921875
16,2,2.640447606828929,0.00018596649169921875
16,2,2.3787407979732116,0.000186920166015625
32,2,3.906860491849098,0.000537872314453125
32,2,3.8203841763783064,0.0005700588226318359
32,2,3.9927045686564693,0.0005538463592529297
32,2,3.4815862175259498,0.0005269050598144531
32,2,3.991746105728456,0.0005221366882324219
64,2,5.043705536602389,0.0018808841705322266
64,2,5.726211406740481,0.002110004425048828
64,2,5.161620781498328,0.0019159317016601562
64,2,5.567199489787448,0.0020508766174316406
64,2,5.594586540208596,0.0022029876708984375
128,2,7.9057073477437845,0.007317066192626953
128,2,7.963600490414849,0.006515026092529297
128,2,7.666331007923406,0.008040904998779297
128,2,7.903552932464636,0.007028102874755859
128,2,7.934949988096776,0.007318019866943359
256,2,10.804672851718687,0.03577589988708496
256,2,10.715181695799268,0.02973198890686035
256,2,10.972792042837913,0.03764605522155762
256,2,10.682677790397955,0.035249948501586914
256,2,10.538945991239313,0.03189992904663086
512,2,14.913672786647288,0.1316680908203125
512,2,15.057021261845412,0.12814807891845703
512,2,14.868638547679138,0.13124394416809082
512,2,14.87468005487497,0.12744379043579102
512,2,14.670630333661887,0.12894392013549805
1024,2,21.056062545427302,0.5339939594268799
1024,2,20.987760818892387,0.5333459377288818
1024,2,20.781006138153447,0.5094170570373535
1024,2,20.945659694285464,0.5331759452819824
1024,2,21.10896341484258,0.5401718616485596
4,3,1.7777671509725912,3.910064697265625e-05
4,3,0.8794492376388969,2.002716064453125e-05
4,3,1.5040374198680675,2.002716064453125e-05
4,3,1.3388481066695068,1.6927719116210938e-05
4,3,1.1213683334876425,1.5974044799804688e-05
8,3,3.0094874374547285,4.601478576660156e-05
8,3,2.607821428071772,4.410743713378906e-05
8,3,3.294482687164746,4.38690185546875e-05
8,3,2.786598006259785,4.410743713378906e-05
8,3,3.0508988318715344,6.914138793945312e-05
16,3,4.412520639479976,0.00018715858459472656
16,3,3.3986091482090393,0.00017404556274414062
16,3,4.217226894431419,0.00018095970153808594
16,3,4.545851288265052,0.00017595291137695312
16,3,3.8183796342218863,0.00017690658569335938
32,3,7.206441435827346,0.0005078315734863281
32,3,7.137522345300654,0.0005099773406982422
32,3,7.0429222631579105,0.0005130767822265625
32,3,6.674665436774663,0.0005278587341308594
32,3,7.378090308910445,0.000514984130859375
64,3,12.383156254750544,0.001967906951904297
64,3,11.589971016495115,0.0017728805541992188
64,3,11.773913469796977,0.0017559528350830078
64,3,11.304450498591763,0.0017778873443603516
64,3,11.585850186882007,0.001911163330078125
128,3,18.331266387207343,0.009371042251586914
128,3,17.302047542735057,0.006887912750244141
128,3,17.407431559417955,0.007111787796020508
128,3,18.22917498684673,0.008038043975830078
128,3,18.121933707353318,0.007142066955566406
256,3,27.551045406830795,0.03146696090698242
256,3,27.45791208663738,0.02694416046142578
256,3,28.146244001834745,0.026482105255126953
